# Table #1: Deprecated LIDs.
# Feel free to add other tables, but fix bundle.xml
#
# Table of Deprecated LIDs (some secretly changed up to 2020.02.13, soho.lasco)
# 2019.11.18 instID.scID -> scID.instID for p8, p9
# 2020.06.17 grav.jno -> jno.rss, which should probably be rss.jno for consistency. oh well
# 2020.07.23 + -> _ for a few stars; validate had incorrectly allowed +
# 2021.02.24 instID.scID -> scID.instID for instruments with no known lid_references
# 2021.02.24 urn:nasa:pds -> urn:esa:psa for ESA's stuff
# 2021.06.21 instrument:grs.ody -> instrument:ody.grs and .hend and .ns
#deprecatedLID,dateOfReplacement,replacementLID
urn:nasa:pds:context:facility:observatory.ctio	2021-12-07	urn:nasa:pds:context:facility:observatory.ctio-cerro_tololo
urn:nasa:pds:context:facility:observatory.eso	2021-12-07	urn:nasa:pds:context:facility:observatory.eso-la_silla
urn:nasa:pds:context:facility:observatory.irtf	2021-12-07	urn:nasa:pds:context:facility:observatory.irtf-maunakea
urn:nasa:pds:context:facility:observatory.mauna_kea	2021-12-07	urn:nasa:pds:context:facility:observatory.maunakea
urn:nasa:pds:context:instrument:a-star.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.a-star
urn:nasa:pds:context:instrument:acp.hp	2021-02-24	urn:esa:psa:context:instrument:hp.acp
urn:nasa:pds:context:instrument:alice.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.alice
urn:nasa:pds:context:instrument:alice.ro	2021-02-24	urn:esa:psa:context:instrument:ro.alice
urn:nasa:pds:context:instrument:apxs.mpfr	2021-02-24	urn:nasa:pds:context:instrument:mpfr.apxs
urn:nasa:pds:context:instrument:asi.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.asi
urn:nasa:pds:context:instrument:aspera-3.mex	2021-02-24	urn:esa:psa:context:instrument:mex.aspera-3
urn:nasa:pds:context:instrument:b-star.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.b-star
urn:nasa:pds:context:instrument:cdd.pioneer_8	2019-11-18	urn:nasa:pds:context:instrument:p8.cdd
urn:nasa:pds:context:instrument:cdd.pioneer_9	2019-11-18	urn:nasa:pds:context:instrument:p9.cdd
urn:nasa:pds:context:instrument:cfi.con	2021-02-24	urn:nasa:pds:context:instrument:con.cfi
urn:nasa:pds:context:instrument:cida.con	2021-02-24	urn:nasa:pds:context:instrument:con.cida
urn:nasa:pds:context:instrument:cida.sdu	2021-02-24	urn:nasa:pds:context:instrument:sdu.cida
urn:nasa:pds:context:instrument:cosima.ro	2021-02-24	urn:esa:psa:context:instrument:ro.cosima
urn:nasa:pds:context:instrument:cospin-at.uly	2021-02-24	urn:esa:psa:context:instrument:uly.cospin-at
urn:nasa:pds:context:instrument:cospin-het.uly	2021-02-24	urn:esa:psa:context:instrument:uly.cospin-het
urn:nasa:pds:context:instrument:cospin-hft.uly	2021-02-24	urn:esa:psa:context:instrument:uly.cospin-hft
urn:nasa:pds:context:instrument:cospin-ket.uly	2021-02-24	urn:esa:psa:context:instrument:uly.cospin-ket
urn:nasa:pds:context:instrument:cospin-let.uly	2021-02-24	urn:esa:psa:context:instrument:uly.cospin-let
urn:nasa:pds:context:instrument:crat.lro	2021-02-24	urn:nasa:pds:context:instrument:lro.crat
urn:nasa:pds:context:instrument:crispimag.con	2021-02-24	urn:nasa:pds:context:instrument:con.crispimag
urn:nasa:pds:context:instrument:crispspec.con	2021-02-24	urn:nasa:pds:context:instrument:con.crispspec
urn:nasa:pds:context:instrument:crs.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.crs
urn:nasa:pds:context:instrument:crs.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.crs
urn:nasa:pds:context:instrument:ctio.2mass1m3.2masssouth	2021-12-07	urn:nasa:pds:context:instrument:ctio-cerro_tololo.2mass1m3.2masssouth
urn:nasa:pds:context:instrument:ctio.smarts1m0.fruttispec	2021-12-07	urn:nasa:pds:context:instrument:ctio-cerro_tololo.smarts1m0.fruttispec
urn:nasa:pds:context:instrument:ctio.smarts1m5.cassegrainspec	2021-12-07	urn:nasa:pds:context:instrument:ctio-cerro_tololo.smarts1m5.cassegrainspec
urn:nasa:pds:context:instrument:ctio.soar4m1.ghts	2021-12-07	urn:nasa:pds:context:instrument:ctio-cerro_tololo.soar4m1.ghts
urn:nasa:pds:context:instrument:dfmi.sdu	2021-02-24	urn:nasa:pds:context:instrument:sdu.dfmi
urn:nasa:pds:context:instrument:did.gio	2021-02-24	urn:esa:psa:context:instrument:gio.did
urn:nasa:pds:context:instrument:disr.hp	2021-02-24	urn:esa:psa:context:instrument:hp.disr
urn:nasa:pds:context:instrument:dlre.lro	2021-02-24	urn:nasa:pds:context:instrument:lro.dlre
urn:nasa:pds:context:instrument:ducma.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.ducma
urn:nasa:pds:context:instrument:ducma.vega2	2021-02-24	urn:nasa:pds:context:instrument:vega2.ducma
urn:nasa:pds:context:instrument:dwe.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.dwe
urn:nasa:pds:context:instrument:dwe.hp	2021-02-24	urn:esa:psa:context:instrument:hp.dwe
urn:nasa:pds:context:instrument:dynsci.sdu	2021-02-24	urn:nasa:pds:context:instrument:sdu.dynsci
urn:nasa:pds:context:instrument:epa.gio	2021-02-24	urn:esa:psa:context:instrument:gio.epa
urn:nasa:pds:context:instrument:epac.uly	2021-02-24	urn:esa:psa:context:instrument:uly.epac
urn:nasa:pds:context:instrument:epas.ice	2021-02-24	urn:nasa:pds:context:instrument:ice.epas
urn:nasa:pds:context:instrument:epd.go	2021-02-24	urn:nasa:pds:context:instrument:go.epd
urn:nasa:pds:context:instrument:epi.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.epi
urn:nasa:pds:context:instrument:eso.3m6.timmi2	2021-12-07	urn:nasa:pds:context:instrument:eso-la_silla.3m6.timmi2
urn:nasa:pds:context:instrument:eso.ntt.efosc2	2021-12-07	urn:nasa:pds:context:instrument:eso-la_silla.ntt.efosc2
urn:nasa:pds:context:instrument:eso.ntt.eso_multi	2021-12-07	urn:nasa:pds:context:instrument:eso-la_silla.ntt.eso_multi
urn:nasa:pds:context:instrument:eso.ntt.eso_rild	2021-12-07	urn:nasa:pds:context:instrument:eso-la_silla.ntt.eso_rild
urn:nasa:pds:context:instrument:eso.ntt.sofi	2021-12-07	urn:nasa:pds:context:instrument:eso-la_silla.ntt.sofi
urn:nasa:pds:context:instrument:eso.photometric1m.denis	2021-12-07	urn:nasa:pds:context:instrument:eso-la_silla.1m04.denis
urn:nasa:pds:context:instrument:esp.suisei	2021-02-24	urn:nasa:pds:context:instrument:suisei.esp
urn:nasa:pds:context:instrument:fpa.iras	2021-02-24	urn:nasa:pds:context:instrument:iras.fpa
urn:nasa:pds:context:instrument:gas.uly	2021-02-24	urn:esa:psa:context:instrument:uly.gas
urn:nasa:pds:context:instrument:gcms.hp	2021-02-24	urn:esa:psa:context:instrument:hp.gcms
urn:nasa:pds:context:instrument:gdds.go	2021-02-24	urn:nasa:pds:context:instrument:go.gdds
urn:nasa:pds:context:instrument:giada.ro	2021-02-24	urn:esa:psa:context:instrument:ro.giada
urn:nasa:pds:context:instrument:gpms.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.gpms
urn:nasa:pds:context:instrument:grav.jno	2020-06-17	urn:nasa:pds:context:instrument:jno.rss
urn:nasa:pds:context:instrument:grb.uly	2021-02-24	urn:esa:psa:context:instrument:uly.grb
urn:nasa:pds:context:instrument:gre.gio	2021-02-24	urn:esa:psa:context:instrument:gio.gre
urn:nasa:pds:context:instrument:grs.ody	2021-06-21	urn:nasa:pds:context:instrument:ody.grs
urn:nasa:pds:context:instrument:gwe.uly	2021-02-24	urn:esa:psa:context:instrument:uly.gwe
urn:nasa:pds:context:instrument:had.gp	2021-02-24	urn:nasa:pds:context:instrument:gp.had
urn:nasa:pds:context:instrument:hasi.hp	2021-02-24	urn:esa:psa:context:instrument:hp.hasi
urn:nasa:pds:context:instrument:hic.go	2021-02-24	urn:nasa:pds:context:instrument:go.hic
urn:nasa:pds:context:instrument:hires.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.hires
urn:nasa:pds:context:instrument:hiscale.uly	2021-02-24	urn:esa:psa:context:instrument:uly.hiscale
urn:nasa:pds:context:instrument:hmc.gio	2021-02-24	urn:esa:psa:context:instrument:gio.hmc
urn:nasa:pds:context:instrument:hrii.dif	2021-02-24	urn:nasa:pds:context:instrument:dif.hrii
urn:nasa:pds:context:instrument:hriv.dif	2021-02-24	urn:nasa:pds:context:instrument:dif.hriv
urn:nasa:pds:context:instrument:hrsc.mex	2021-02-24	urn:esa:psa:context:instrument:mex.hrsc
urn:nasa:pds:context:instrument:hstacs.hst	2021-02-24	urn:nasa:pds:context:instrument:hst.hstacs
urn:nasa:pds:context:instrument:huygens_hk.hp	2021-02-24	urn:esa:psa:context:instrument:hp.huygens_hk
urn:nasa:pds:context:instrument:ici.ice	2021-02-24	urn:nasa:pds:context:instrument:ice.ici
urn:nasa:pds:context:instrument:ids.ds1	2021-02-24	urn:nasa:pds:context:instrument:ds1.ids
urn:nasa:pds:context:instrument:iks.vega1	2021-02-24	urn:nasa:pds:context:instrument:vega1.iks
urn:nasa:pds:context:instrument:imf.sakig	2021-02-24	urn:nasa:pds:context:instrument:sakig.imf
urn:nasa:pds:context:instrument:ims.gio	2021-02-24	urn:esa:psa:context:instrument:gio.ims
urn:nasa:pds:context:instrument:iris.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.iris
urn:nasa:pds:context:instrument:iris.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.iris
urn:nasa:pds:context:instrument:irtf.3m0.cvf	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.cvf
urn:nasa:pds:context:instrument:irtf.3m0.mirac	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.mirac
urn:nasa:pds:context:instrument:irtf.3m0.mirac2	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.mirac2
urn:nasa:pds:context:instrument:irtf.3m0.mirli	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.mirli
urn:nasa:pds:context:instrument:irtf.3m0.mirlin	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.mirlin
urn:nasa:pds:context:instrument:irtf.3m0.mirsi	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.mirsi
urn:nasa:pds:context:instrument:irtf.3m0.primo_1	2021-12-07	urn:nasa:pds:context:instrument:irtf-maunakea.3m2.primo_1
urn:nasa:pds:context:instrument:issn.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.issn
urn:nasa:pds:context:instrument:issn.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.issn
urn:nasa:pds:context:instrument:issw.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.issw
urn:nasa:pds:context:instrument:issw.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.issw
urn:nasa:pds:context:instrument:its.dii	2021-02-24	urn:nasa:pds:context:instrument:dii.its
urn:nasa:pds:context:instrument:jpa.gio	2021-02-24	urn:esa:psa:context:instrument:gio.jpa
urn:nasa:pds:context:instrument:lamp.lro	2021-02-24	urn:nasa:pds:context:instrument:lro.lamp
urn:nasa:pds:context:instrument:lecp.vg1	2021-02-24	urn:nasa:pds:context:instrument:vg1.lecp
urn:nasa:pds:context:instrument:lecp.vg2	2021-02-24	urn:nasa:pds:context:instrument:vg2.lecp
urn:nasa:pds:context:instrument:leisa.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.leisa
urn:nasa:pds:context:instrument:lend.lro	2021-02-24	urn:nasa:pds:context:instrument:lro.lend
urn:nasa:pds:context:instrument:lgrs-a.grail-a	2021-02-24	urn:nasa:pds:context:instrument:grail-a.lgrs-a
urn:nasa:pds:context:instrument:lgrs-b.grail-b	2021-02-24	urn:nasa:pds:context:instrument:grail-b.lgrs-b
urn:nasa:pds:context:instrument:lidar.clem1	2021-02-24	urn:nasa:pds:context:instrument:clem1.lidar
urn:nasa:pds:context:instrument:lola.lro	2021-02-24	urn:nasa:pds:context:instrument:lro.lola
urn:nasa:pds:context:instrument:lorri.nh	2021-02-24	urn:nasa:pds:context:instrument:nh.lorri
